WKC,GMN,Wijknaam,YEAR,Total_Population,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_AGE_CAT_71to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2022,8570,0.5075845974329055,0.2310385064177363,0.22287047841306884,0.2765460910151692,0.21586931155192532,0.09976662777129522,0.045507584597432905,0.6131855309218203,0.24795799299883314,0.1382730455075846,0.007001166861143524,0.019253208868144692,0.006417736289381563,0.011085180863477246,0.7333722287047841,0.024504084014002333,0.0,0.0,0.0,0.0,0.0,0.0,0.040840140023337225,0.2310385064177363,0.0,0.0,0.0,0.0,0.041423570595099185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013418903150525088,0.011668611435239206,0.005834305717619603,0.005834305717619603,0.009918319719953326,0.001750291715285881,0.001750291715285881,0.001750291715285881
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2009,8360,0.506578947368421,0.21949760765550239,0.25598086124401914,0.2811004784688995,0.18301435406698566,0.06339712918660287,0.050239234449760764,0.6549043062200957,0.24342105263157895,0.10167464114832536,0.006578947368421052,0.019138755980861243,0.004784688995215311,0.010167464114832535,0.20933014354066987,0.0215311004784689,0.0,0.0,0.0,0.0,0.0,0.0,0.041866028708133975,0.1471291866028708,0.0,0.0,0.0,0.0,0.0,0.0,0.8391148325358851,0.617822966507177,0.520933014354067,0.037679425837320576,0.19976076555023922,0.1854066985645933,0.04485645933014354,0.03110047846889952,0.1686602870813397,0.08253588516746412,0.01674641148325359,0.022129186602870814,0.008373205741626795,0.01076555023923445,0.019138755980861243,0.0029904306220095694,0.004784688995215311,0.0017942583732057417
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2010,8200,0.5091463414634146,0.225,0.24939024390243902,0.2804878048780488,0.18597560975609756,0.06463414634146342,0.051829268292682924,0.6554878048780488,0.24085365853658536,0.10426829268292682,0.006097560975609756,0.018902439024390243,0.004878048780487805,0.01097560975609756,0.1951219512195122,0.01707317073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.03902439024390244,0.13109756097560976,0.0,0.0,0.0,0.01097560975609756,0.0,0.0,0.8347560975609756,0.625,0.5341463414634147,0.03780487804878049,0.20609756097560974,0.19451219512195123,0.048170731707317074,0.03170731707317073,0.17134146341463416,0.08658536585365853,0.01707317073170732,0.02195121951219512,0.00853658536585366,0.01097560975609756,0.018902439024390243,0.003048780487804878,0.004878048780487805,0.001829268292682927
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2011,8210,0.5054811205846529,0.22168087697929353,0.25334957369062117,0.2807551766138855,0.18940316686967112,0.06577344701583435,0.045676004872107184,0.6522533495736906,0.243605359317905,0.10353227771010962,0.007308160779537149,0.01766138855054811,0.0036540803897685747,0.010353227771010963,0.7082825822168087,0.015834348355663823,0.2965895249695493,0.007308160779537149,0.012180267965895249,0.009135200974421437,0.02253349573690621,0.18635809987819732,0.03836784409257003,0.14068209500609014,0.043239951278928136,0.48112058465286234,0.0,0.010962241169305725,0.0,0.0,0.8623629719853837,0.6132764920828259,0.5322777101096224,0.04506699147381242,0.20097442143727162,0.19123020706455543,0.047503045066991476,0.030450669914738125,0.16930572472594396,0.08708891595615104,0.01766138855054811,0.021315468940316686,0.007917174177831911,0.010353227771010963,0.0194884287454324,0.0030450669914738123,0.004263093788063338,0.0018270401948842874
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2012,8270,0.5030229746070133,0.22249093107617895,0.24546553808948005,0.28174123337363965,0.18984280532043532,0.06529625151148731,0.051390568319226115,0.6517533252720678,0.23881499395405079,0.10882708585247884,0.007255139056831923,0.019347037484885126,0.004232164449818622,0.010278113663845224,0.711608222490931,0.016324062877871828,0.2920193470374849,0.008464328899637243,0.012091898428053204,0.008464328899637243,0.01995163240628779,0.19226118500604594,0.03990326481257558,0.13905683192261184,0.04353083434099154,0.4818621523579202,0.0,0.012091898428053204,0.0,0.0,0.8688029020556227,0.6142684401451027,0.5374848851269649,0.03688029020556227,0.20253929866989118,0.18742442563482467,0.0471584038694075,0.032648125755743655,0.16989117291414751,0.09068923821039904,0.016928657799274487,0.02176541717049577,0.007859733978234583,0.010278113663845224,0.019347037484885126,0.003022974607013301,0.004232164449818622,0.0018137847642079807
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2013,8260,0.5036319612590799,0.22760290556900725,0.2391041162227603,0.28087167070217917,0.19309927360774817,0.06658595641646489,0.050242130750605324,0.6531476997578692,0.23486682808716708,0.11198547215496368,0.007869249394673124,0.019975786924939468,0.004842615012106538,0.00847457627118644,0.7136803874092009,0.02360774818401937,0.2857142857142857,0.012106537530266344,0.012106537530266344,0.009079903147699757,0.01937046004842615,0.1967312348668281,0.03753026634382567,0.13498789346246973,0.053268765133171914,0.4891041162227603,0.0,0.013922518159806295,0.0,0.0,0.87590799031477,0.6077481840193705,0.5320823244552058,0.030871670702179176,0.20399515738498789,0.18038740920096852,0.04903147699757869,0.03208232445520581,0.1682808716707022,0.09382566585956416,0.017554479418886198,0.021791767554479417,0.007869249394673124,0.010290556900726392,0.019975786924939468,0.0036319612590799033,0.00423728813559322,0.0018159806295399517
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2014,8350,0.5023952095808383,0.2311377245508982,0.23652694610778444,0.2832335329341317,0.19281437125748502,0.06646706586826347,0.048502994011976046,0.6520958083832336,0.23532934131736527,0.11317365269461079,0.009580838323353293,0.01976047904191617,0.004790419161676647,0.008982035928143712,0.7161676646706587,0.02215568862275449,0.28023952095808385,0.012574850299401197,0.013173652694610778,0.011377245508982036,0.016167664670658683,0.19700598802395208,0.03832335329341317,0.14191616766467066,0.046706586826347304,0.47365269461077847,0.0,0.01437125748502994,0.0,0.0,0.884431137724551,0.6047904191616766,0.537125748502994,0.04131736526946108,0.20119760479041915,0.1844311377245509,0.048502994011976046,0.033532934131736525,0.16467065868263472,0.09401197604790419,0.017365269461077845,0.020958083832335328,0.00718562874251497,0.010179640718562874,0.019161676646706587,0.003592814371257485,0.004191616766467066,0.0017964071856287425
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2015,8340,0.5017985611510791,0.22841726618705036,0.2314148681055156,0.2823741007194245,0.20023980815347722,0.07074340527577938,0.048561151079136694,0.6528776978417267,0.23501199040767387,0.11211031175059952,0.009592326139088728,0.01858513189448441,0.004196642685851319,0.011390887290167866,0.723621103117506,0.016786570743405275,0.2841726618705036,0.011990407673860911,0.01498800959232614,0.009592326139088728,0.01738609112709832,0.19544364508393286,0.03597122302158273,0.12829736211031176,0.046163069544364506,0.4712230215827338,0.0,0.011990407673860911,0.047961630695443645,0.02038369304556355,0.8908872901678657,0.6019184652278178,0.5335731414868106,0.03597122302158273,0.20203836930455635,0.17865707434052758,0.047961630695443645,0.03477218225419664,0.1630695443645084,0.09592326139088729,0.01738609112709832,0.020983213429256596,0.007194244604316547,0.010191846522781775,0.017985611510791366,0.0035971223021582736,0.0035971223021582736,0.0017985611510791368
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2016,8520,0.5046948356807511,0.2323943661971831,0.2282863849765258,0.2811032863849765,0.20305164319248825,0.0721830985915493,0.04753521126760563,0.6373239436619719,0.24237089201877934,0.11971830985915492,0.009389671361502348,0.018779342723004695,0.004694835680751174,0.008802816901408451,0.7165492957746479,0.01995305164319249,0.27816901408450706,0.011737089201877934,0.014084507042253521,0.008802816901408451,0.017605633802816902,0.19307511737089203,0.03697183098591549,0.14964788732394366,0.041666666666666664,0.45129107981220656,0.0,0.011150234741784037,0.04812206572769953,0.02171361502347418,0.8820422535211268,0.5985915492957746,0.5434272300469484,0.0357981220657277,0.20305164319248825,0.18251173708920188,0.04753521126760563,0.03286384976525822,0.1637323943661972,0.09741784037558686,0.017018779342723004,0.018192488262910797,0.007042253521126761,0.008802816901408451,0.01643192488262911,0.0035211267605633804,0.0035211267605633804,0.0017605633802816902
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2017,8550,0.5058479532163743,0.2304093567251462,0.22807017543859648,0.2795321637426901,0.20818713450292398,0.08128654970760234,0.04678362573099415,0.6309941520467837,0.24502923976608187,0.12456140350877193,0.008771929824561403,0.01871345029239766,0.005263157894736842,0.008187134502923977,0.7146198830409357,0.01929824561403509,0.28830409356725145,0.00760233918128655,0.01695906432748538,0.00935672514619883,0.016374269005847954,0.19941520467836257,0.03450292397660819,0.14210526315789473,0.048538011695906436,0.4502923976608187,0.0,0.012280701754385965,0.0456140350877193,0.023976608187134502,0.8818713450292398,0.5923976608187135,0.5345029239766081,0.038011695906432746,0.20116959064327486,0.17777777777777778,0.05087719298245614,0.03274853801169591,0.1608187134502924,0.09707602339181287,0.016374269005847954,0.018128654970760234,0.007017543859649123,0.008771929824561403,0.0152046783625731,0.0029239766081871343,0.0035087719298245615,0.0
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2018,8570,0.5070011668611435,0.22987164527421236,0.22287047841306884,0.28413068844807465,0.20945157526254377,0.08926487747957992,0.046091015169194866,0.6260210035005834,0.24212368728121353,0.13185530921820304,0.008751458576429404,0.019253208868144692,0.006417736289381563,0.010501750291715286,0.7222870478413069,0.01750291715285881,0.29346557759626607,0.007001166861143524,0.01750291715285881,0.009334889148191364,0.01750291715285881,0.1983663943990665,0.03267211201866978,0.13768961493582263,0.046674445740956826,0.4235705950991832,0.0,0.009918319719953326,0.047841306884480746,0.025087514585764293,0.882730455075846,0.5997666277712952,0.5460910151691949,0.040256709451575265,0.20245040840140024,0.18786464410735124,0.051341890315052506,0.03208868144690782,0.16277712952158693,0.09684947491248541,0.01633605600933489,0.01691948658109685,0.006417736289381563,0.008751458576429404,0.014585764294049008,0.002333722287047841,0.003500583430571762,0.0
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2019,8640,0.5063657407407407,0.2309027777777778,0.22453703703703703,0.28125,0.21122685185185186,0.09606481481481481,0.04282407407407408,0.6174768518518519,0.24594907407407407,0.13657407407407407,0.007523148148148148,0.019097222222222224,0.00636574074074074,0.01099537037037037,0.7239583333333334,0.009837962962962963,0.2899305555555556,0.007523148148148148,0.01678240740740741,0.009837962962962963,0.017361111111111112,0.19270833333333334,0.037037037037037035,0.11689814814814815,0.043402777777777776,0.4027777777777778,0.0,0.008101851851851851,0.047453703703703706,0.026041666666666668,0.8819444444444444,0.59375,0.5370370370370371,0.03993055555555555,0.19733796296296297,0.18113425925925927,0.048032407407407406,0.030671296296296297,0.15914351851851852,0.09259259259259259,0.015625,0.015625,0.00636574074074074,0.007523148148148148,0.013310185185185185,0.0023148148148148147,0.0028935185185185184,0.0
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2020,8610,0.5069686411149826,0.227061556329849,0.2264808362369338,0.281068524970964,0.21370499419279906,0.09581881533101046,0.042392566782810684,0.6196283391405343,0.24274099883855982,0.13763066202090593,0.007549361207897794,0.02032520325203252,0.006387921022067364,0.011614401858304297,0.7334494773519163,0.009291521486643438,0.2868757259001161,0.008130081300813009,0.017421602787456445,0.012775842044134728,0.01916376306620209,0.19337979094076654,0.047619047619047616,0.1254355400696864,0.042392566782810684,0.3867595818815331,0.0,0.007549361207897794,0.04645760743321719,0.023809523809523808,0.8826945412311266,0.5760743321718932,0.502903600464576,0.03948896631823461,0.18931475029036005,0.1678281068524971,0.042392566782810684,0.030197444831591175,0.1521486643437863,0.08768873403019745,0.014518002322880372,0.013356562137049941,0.006387921022067364,0.007549361207897794,0.012195121951219513,0.0017421602787456446,0.0023228803716608595,0.0017421602787456446
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2021,8580,0.5081585081585082,0.23135198135198135,0.22202797202797203,0.27797202797202797,0.21386946386946387,0.09673659673659674,0.04603729603729604,0.6241258741258742,0.23892773892773891,0.13636363636363635,0.008158508158508158,0.020396270396270396,0.005827505827505828,0.01048951048951049,0.7266899766899767,0.008741258741258742,0.28321678321678323,0.00641025641025641,0.015151515151515152,0.012237762237762238,0.017482517482517484,0.1993006993006993,0.05944055944055944,0.1182983682983683,0.046620046620046623,0.37004662004662003,0.0,0.0,0.04603729603729604,0.026223776223776224,0.0,0.0,0.0,0.0,0.19405594405594406,0.17249417249417248,0.043706293706293704,0.02972027972027972,0.155011655011655,0.08916083916083917,0.013986013986013986,0.01282051282051282,0.00641025641025641,0.006993006993006993,0.011655011655011656,0.002331002331002331,0.002331002331002331,0.0017482517482517483
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2022,8570,0.5075845974329055,0.2310385064177363,0.22287047841306884,0.2765460910151692,0.21586931155192532,0.09976662777129522,0.045507584597432905,0.6131855309218203,0.24795799299883314,0.1382730455075846,0.007001166861143524,0.019253208868144692,0.006417736289381563,0.011085180863477246,0.7333722287047841,0.024504084014002333,0.0,0.0,0.0,0.0,0.0,0.0,0.040840140023337225,0.2310385064177363,0.0,0.0,0.0,0.0,0.041423570595099185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013418903150525088,0.011668611435239206,0.005834305717619603,0.005834305717619603,0.009918319719953326,0.001750291715285881,0.001750291715285881,0.001750291715285881
